"","ID","AGE","GEN","EXP","ANT","OCB","FRCC","RBSE"
"340",340,44,1,20,2,3.16666666666667,13,4.6
"341",341,34,0,10,9,4,17,5
"342",342,57,0,33,33,4.33333333333333,14,4.6
"343",343,38,1,15,10,5,20,5
"344",344,43,1,20,20,4.66666666666667,15,5
"345",345,34,1,5,5,4.66666666666667,17,4
"346",346,42,1,14,2,3.66666666666667,13,3.8
"347",347,42,1,4,2,3.83333333333333,14,4
"348",348,50,0,30,5,4.33333333333333,16,5
"349",349,35,1,7,6,3.83333333333333,16,4
"350",350,39,0,20,10,3.16666666666667,11,3
"351",351,41,0,22,6,5,20,5
"352",352,30,0,8,8,3.33333333333333,13,4.4
"353",353,60,0,35,20,5,16,5
"354",354,60,0,35,20,5,16,5
"355",355,47,1,20,20,4.83333333333333,16,5
"356",356,41,0,16,13,4.33333333333333,13,3.8
"357",357,61,0,30,10,3,12,4
"358",358,37,1,3,5,4.16666666666667,14,4.8
"359",359,41,0,15,8,2.83333333333333,17,4
"360",360,34,0,10,7,4.33333333333333,17,5
"361",361,43,1,16,9,3.5,12,3.6
"362",362,43,0,20,5,5,16,5
"363",363,48,1,27,27,4,14,3.6
"364",364,63,0,38,9,4.5,15,4.6
"365",365,52,1,22,19,3.83333333333333,14,4.4
"366",366,58,0,9,5,3.16666666666667,13,3.4
"367",367,63,0,30,1,3.66666666666667,16,5
"368",368,44,0,15,5,3.33333333333333,13,4.4
"369",369,32,1,10,5,3,13,4.2
"370",370,48,1,26,19,3.83333333333333,13,4.6
"371",371,28,1,4,3,4.33333333333333,11,4.6
"372",372,48,0,30,4,4.16666666666667,16,4.6
"373",373,33,1,12,3,4,11,4.6
"374",374,48,1,23,9,5,20,4
"375",375,43,1,17,2,3.83333333333333,10,5
"376",376,53,1,20,10,3.5,13,4
"377",377,53,1,20,10,3.5,13,4
"378",378,28,0,4,3,4.16666666666667,13,3
"379",379,30,1,7,6,5,20,5
"380",380,33,0,14,7,4.66666666666667,16,5
"381",381,49,0,25,15,4.33333333333333,16,4.6
"382",382,36,0,14,5,5,20,5
"383",383,52,0,30,2,4,16,4.2
"384",384,31,1,5,4,2.83333333333333,11,3.8
"385",385,41,0,14,3,3.16666666666667,14,5
"386",386,53,1,30,22,5,17,5
"387",387,36,1,15,4,4.83333333333333,15,5
"388",388,60,0,35,1,4,16,4
"389",389,34,1,12,7,3,10,4
"390",390,32,1,4,1,3.33333333333333,12,2
"391",391,52,0,20,5,3.83333333333333,11,3.6
"392",392,55,1,30,9,5,20,5
"393",393,47,0,20,21,4.33333333333333,16,5
"394",394,40,0,14,12,4.83333333333333,16,4.4
"395",395,29,1,5,1,5,18,5
"396",396,44,0,22,18,4,15,4.8
"397",397,50,1,22,22,3.16666666666667,13,4.2
"398",398,49,1,23,23,4.33333333333333,12,4.2
"399",399,31,0,5,5,4,13,4.2
"400",400,34,1,11,11,3.33333333333333,13,3.8
"401",401,59,0,32,10,1.83333333333333,4,3.8
"402",402,31,0,5,5,2.5,10,3
"403",403,31,1,8,1,3.33333333333333,13,4.4
"404",404,37,1,10,2,2.5,11,3.8
"405",405,53,1,30,30,4,15,4.8
"406",406,46,1,18,18,3.33333333333333,11,4.2
"407",407,31,1,8,3,4.33333333333333,16,4
"408",408,28,0,5,5,4.66666666666667,14,4.2
"409",409,39,1,15,15,4.16666666666667,20,5
"410",410,39,1,12,10,4,15,4
"411",411,45,0,21,6,3.66666666666667,15,4.6
"412",412,35,1,5,3,4,13,4.4
"413",413,47,0,26,1,3.16666666666667,14,3.6
"414",414,60,0,36,12,4,13,4.4
"415",415,43,1,16,1,3.5,14,4
"416",416,47,1,18,1,4,16,3.8
"417",417,32,1,12,5,2.66666666666667,11,4.8
"418",418,31,0,7,5,3.33333333333333,16,5
"419",419,47,0,22,21,4.33333333333333,14,3.8
"420",420,38,1,19,14,3.66666666666667,12,4
"421",421,35,1,10,3,3.66666666666667,11,4.2
"422",422,30,0,7,1,1,4,1
"423",423,34,0,15,12,3.83333333333333,13,4
"424",424,38,0,10,5,3.83333333333333,16,4.2
"425",425,38,1,20,13,4.5,17,4.6
"426",426,25,1,3,1,3.83333333333333,13,5
"427",427,36,1,13,0,3.33333333333333,10,3.8
"428",428,34,1,12,3,5,16,4
"429",429,56,0,40,11,3.83333333333333,11,4.4
"430",430,56,0,40,11,3.83333333333333,11,4.4
"431",431,45,1,10,1,2,17,3
"432",432,51,1,30,2,3.83333333333333,13,3.4
"433",433,36,1,20,20,4,17,3.8
"434",434,34,1,11,2,3.16666666666667,13,4.2
