id,edad,sexo,exp,ant,empr,sup,doc,form,pi01,pi02,pi03,pi04,pi05,pi06,pi07,pi08,pi09,pi10,pc01,pc02,pc03,pc04,pc05,pc06,pc07,pc08,pre01,pre02,pre03,pre04,pre05,pre06,pro01,pro02,pro03,pro04,pro05,pro06,ac01,ac02,ac03,ac04,ac05,ac06,cch01,cch02,cch03,cch04,cch05,cch06,ccl01,ccl02,ccl03,nc01,nc02,nc03,nc04,nc05,nc06
48,36,0,11,9,3,1,0,1,6,5,6,5,5,5,4,5,5,5,5,3,3,4,5,5,5,5,6,7,7,6,7,6,6,6,5,4,7,5,6,6,6,6,6,6,5,6,6,4,5,6,2,4,2,2,2,2,4,4,4
49,29,0,5,3,3,1,0,0,7,5,7,5,7,5,5,5,7,6,4,4,1,6,5,7,4,4,5,5,5,5,5,5,5,3,3,3,5,4,4,4,4,6,6,5,3,5,4,4,4,5,5,5,4,6,5,5,3,4,4
50,38,1,17,10,3,1,0,1,7,5,5,5,5,6,4,5,5,5,3,1,6,4,6,2,2,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
51,47,0,18,18,1,1,0,1,6,6,5,5,7,4,6,5,5,5,3,3,3,3,3,3,3,3,5,5,5,5,6,5,5,4,5,3,4,5,4,4,4,4,4,4,4,5,4,2,4,4,3,4,5,5,4,3,4,5,4
52,32,0,13,3,3,0,0,0,7,6,6,6,7,6,6,6,6,6,7,7,7,6,6,5,5,7,6,6,6,7,7,7,7,7,7,7,7,7,6,6,6,5,5,6,6,5,6,6,6,6,7,7,3,5,7,6,5,7,7
53,32,0,13,3,3,0,0,0,7,6,6,6,7,6,6,6,6,6,7,7,7,6,6,5,5,7,6,6,6,7,7,7,7,7,7,7,7,7,6,6,6,5,5,6,6,5,6,6,6,6,7,7,3,5,7,6,5,7,7
54,35,0,10,4,6,1,0,0,7,7,6,5,6,5,5,6,5,5,6,5,1,6,5,3,4,6,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,5,6,5,6,5,4,4,4,3,5,6,6,6,6,7
55,27,1,4,1,2,1,0,1,6,6,6,3,6,2,4,1,3,3,7,7,1,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,2,5,2,1,2,3,2,2,2,2,2,5,5,6,2,2,1,1,2,2
56,34,0,10,10,12,0,0,0,6,7,7,6,6,7,5,6,6,7,7,6,4,6,5,6,7,7,6,5,7,6,6,7,6,5,6,6,7,6,6,4,5,6,6,7,7,6,6,5,5,6,6,6,5,7,6,6,5,5,6
57,37,0,13,6,5,1,0,0,6,6,6,6,6,5,4,4,4,5,4,3,2,4,4,5,2,2,6,6,6,6,6,6,5,5,4,5,3,3,3,3,2,2,3,4,3,3,3,4,4,5,4,3,3,2,2,2,2,2,2
58,45,0,20,22,2,1,0,1,6,6,6,6,5,3,6,5,5,5,6,3,1,6,4,3,3,6,5,6,6,6,6,5,5,4,5,5,6,5,3,6,5,5,6,6,5,4,4,4,4,3,6,6,6,4,2,2,2,4,3
59,35,1,10,4,4,1,0,0,6,5,6,6,7,6,5,6,6,5,5,3,1,5,5,4,4,6,6,6,6,6,6,6,5,5,5,4,5,4,3,3,3,4,2,5,2,4,4,3,2,2,6,5,6,4,3,3,3,3,2
60,43,1,17,17,3,0,0,0,7,7,7,7,7,7,7,7,7,7,7,3,4,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
61,33,0,6,3,3,1,0,0,5,4,4,5,4,4,4,5,5,5,3,4,3,4,4,4,4,5,3,3,4,4,3,4,4,5,4,3,4,4,3,4,4,5,5,5,3,3,3,3,3,4,3,5,4,3,3,3,3,3,3
62,55,1,35,3,5,0,0,0,6,4,6,5,6,6,4,5,5,5,3,4,4,4,4,4,4,4,4,6,6,7,7,6,6,5,4,4,6,5,3,3,3,3,2,3,2,2,4,5,4,4,4,3,5,2,2,2,2,1,1
63,42,1,12,7,5,1,0,0,7,6,7,7,7,7,6,5,6,6,4,4,3,5,5,6,3,4,5,5,6,5,6,6,5,4,1,4,7,5,7,7,7,7,7,7,7,6,6,7,6,6,1,4,1,4,5,5,4,7,7
64,38,0,8,5,3,0,0,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
65,42,0,20,18,2,0,0,0,5,4,5,5,5,5,5,6,5,5,6,6,5,6,6,6,6,4,5,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,4,4,5,6,5,5,5,5,6,6,7,2,2,2,2,4,2
66,39,1,14,10,3,1,0,0,6,6,6,7,7,6,6,4,6,6,4,4,3,4,5,4,5,4,6,6,6,6,6,6,6,6,6,6,6,6,4,5,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4
67,30,1,5,1,6,1,0,0,5,6,6,6,6,4,5,5,4,5,4,3,1,4,4,1,5,2,2,5,5,5,5,5,5,5,4,4,4,4,1,1,2,3,2,2,3,1,3,1,3,2,5,4,7,1,1,1,1,1,1
68,32,0,13,12,2,1,0,1,7,7,7,7,7,7,7,7,7,7,1,1,1,4,1,1,1,7,4,5,5,5,5,5,5,3,3,6,6,4,1,1,1,1,1,1,4,4,4,1,1,7,4,4,4,1,1,1,1,1,1
69,50,1,25,6,4,1,0,1,7,7,7,7,7,6,5,6,7,7,7,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,6,6,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,7,7,7,7,7,7
70,34,1,7,6,3,1,0,0,6,6,7,6,6,7,7,7,6,6,7,2,1,5,4,2,6,7,6,6,6,6,6,6,6,6,7,7,7,6,4,5,4,6,7,6,5,5,3,3,1,3,5,4,5,5,5,5,4,4,4
71,36,1,8,4,3,1,0,0,7,4,6,7,7,6,5,6,6,6,5,4,2,6,5,5,5,6,7,7,7,7,7,7,6,6,5,5,6,6,6,5,5,6,4,6,4,4,4,4,4,4,2,2,3,3,3,1,4,2,1
72,37,1,10,6,2,1,0,0,7,5,6,6,5,6,5,5,6,5,5,4,2,4,4,4,4,4,6,6,6,6,6,6,6,3,4,6,6,6,4,4,4,4,4,4,3,1,2,3,1,3,2,2,2,1,1,1,1,1,1
73,35,1,6,6,1,1,0,0,4,5,5,5,6,5,5,4,5,5,6,5,5,5,6,6,5,5,5,5,6,6,6,6,6,5,6,5,6,6,5,6,5,5,5,6,6,6,5,6,6,5,6,6,5,5,6,6,6,5,5
74,31,0,7,4,3,0,1,0,4,3,4,4,3,3,4,3,3,4,4,3,4,4,3,3,4,3,3,4,3,3,4,4,3,3,4,3,4,3,3,4,3,3,4,4,3,3,4,3,3,4,3,3,4,4,3,4,3,3,4
75,37,0,12,11,2,1,0,0,6,6,5,5,5,4,5,4,4,6,4,3,1,2,2,3,2,4,6,6,6,6,6,4,5,5,5,5,5,6,4,5,4,4,4,3,3,2,3,3,3,5,5,2,5,2,3,2,1,2,3
76,34,1,9,9,2,0,1,0,7,6,7,7,7,7,5,7,7,6,7,5,6,7,7,5,3,4,6,7,7,7,7,7,5,6,4,5,5,4,7,3,4,2,3,1,5,4,5,5,6,6,7,6,6,5,5,5,4,5,7
77,27,1,3,3,2,1,0,0,6,6,6,6,6,5,5,5,5,5,6,6,5,6,6,5,5,6,6,6,6,6,6,6,6,6,5,6,6,6,3,3,3,5,4,5,2,2,3,3,5,4,5,4,7,3,3,2,3,3,4
78,44,0,20,20,1,1,0,0,6,5,4,5,6,4,4,4,5,5,5,4,5,5,5,5,3,6,4,5,5,5,5,4,4,2,4,4,4,4,1,5,1,1,1,1,1,5,4,3,5,2,6,6,7,1,1,1,1,1,1
79,35,0,10,4,4,0,0,0,7,6,6,7,7,5,6,6,6,6,5,5,5,6,5,5,3,6,5,6,6,5,6,5,5,4,4,5,6,5,4,2,3,4,2,2,2,3,4,4,5,5,2,2,3,1,2,2,1,1,1
